Source,Target
CG0,PL0
PL0,NFL0
CG1,PL1
PL1,NFL1
CG2,PL2
PL2,NFL2
CG3,PL3
PL3,NFL3
CG4,PL4
PL4,NFL4
CG5,PL5
PL5,NFL5
CG6,PL6
PL6,NFL6
CG7,PL7
PL7,NFL7
CG8,PL8
PL8,NFL8
CG9,PL9
PL9,NFL9
CG2,PL10
PL10,NFL10
CG9,PL11
PL11,NFL11
CG3,PL12
PL12,NFL12
CG10,PL13
PL13,NFL13
CG1,PL14
PL14,NFL14
CG11,PL15
PL15,NFL15
CG3,PL16
PL16,NFL5
CG12,PL17
PL17,NFL16
CG13,PL18
PL18,NFL17
CG7,PL19
PL19,NFL18
CG14,PL20
PL20,NFL11
CG15,PL21
PL21,NFL19
CG16,PL22
PL22,NFL20
CG2,PL23
PL23,NFL3
CG0,PL24
PL24,NFL21
CG13,PL25
PL25,NFL14
CG13,PL26
PL26,NFL3
CG17,PL27
PL27,NFL22
CG18,PL28
PL28,NFL23
CG19,PL29
PL29,NFL5
CG20,PL30
PL30,NFL13
CG21,PL31
PL31,NFL24
CG20,PL32
PL32,NFL0
CG22,PL33
PL33,NFL25
CG23,PL34
PL34,NFL6
CG24,PL35
PL35,NFL1
CG25,PL36
PL36,NFL15
CG0,PL37
PL37,NFL8
CG26,PL38
PL38,NFL4
CG3,PL39
PL39,NFL3
CG27,PL40
PL40,NFL18
CG28,PL41
PL41,NFL18
CG29,PL42
PL42,NFL7
CG13,PL43
PL43,NFL11
CG30,PL44
PL44,NFL24
CG4,PL45
PL45,NFL26
CG31,PL46
PL46,NFL23
CG32,PL47
PL47,NFL27
CG18,PL48
PL48,NFL25
CG2,PL49
PL49,NFL16
CG25,PL50
PL50,NFL17
CG20,PL51
PL51,NFL10
CG33,PL52
PL52,NFL19
CG6,PL53
PL53,NFL20
CG34,PL54
PL54,NFL20
CG19,PL55
PL55,NFL28
CG35,PL56
PL56,NFL19
CG36,PL57
PL57,NFL29
CG1,PL58
PL58,NFL25
CG37,PL59
PL59,NFL22
CG20,PL60
PL60,NFL30
CG38,PL61
PL61,NFL0
CG39,PL62
PL62,NFL28
CG25,PL63
PL63,NFL23
CG10,PL64
PL64,NFL0
CG40,PL65
PL65,NFL9
CG41,PL66
PL66,NFL1
CG23,PL67
